,Genesis Flood / Noah,Gilgamesh Tablet XI / Utanapishtim,Atrahasis Flood,Eridu Genesis / Ziusudra,Deucalion and Pyrrha,Manu and the Fish,Yu Controls the Flood,Popol Vuh / Destruction of the Wooden People,Huarochirí / The Llama Warns of the Flood,Nahui Atl / Tata and Nene,Bergelmir and the Blood Flood,Nuʻu and the Hawaiian Flood
Genesis Flood / Noah,0.9999999999999999,0.8061672657565289,0.5911381402455211,0.5984213466347169,0.5944184833375667,0.5943180487554042,0.1352633329456489,0.25210139666530174,0.5180843970660208,0.482672610157662,0.28958149517537957,0.6138742225626564
Gilgamesh Tablet XI / Utanapishtim,0.8061672657565289,1.0000000000000002,0.6671345390179442,0.7439848879604436,0.542709253038248,0.5598123172175429,0.1392621247645583,0.2595542738092201,0.45720045720068586,0.45276925690687087,0.26832815729997483,0.5266851623825876
Atrahasis Flood,0.5911381402455211,0.6671345390179442,1.0,0.6666820928734801,0.4054424270396914,0.36569902784185315,0.08149699421707284,0.34175846212075917,0.3567417733957578,0.41360103994942227,0.34894928172680917,0.3835616438356165
Eridu Genesis / Ziusudra,0.5984213466347169,0.7439848879604436,0.6666820928734801,0.9999999999999999,0.6308866919011829,0.5296953722252523,0.14165281524036177,0.3017257145618857,0.41337701675024485,0.42363433691955477,0.20795009796401456,0.5306245228993005
Deucalion and Pyrrha,0.5944184833375667,0.542709253038248,0.4054424270396914,0.6308866919011829,1.0,0.6313826635223763,0.2010075630518424,0.31843917593777593,0.4692707680683305,0.6630797815858717,0.44754474222841256,0.6351931356955165
Manu and the Fish,0.5943180487554042,0.5598123172175429,0.36569902784185315,0.5296953722252523,0.6313826635223763,1.0000000000000004,0.13597788272980102,0.10559715077387793,0.5952242962289207,0.5463244844701196,0.388148339826388,0.5942609202430114
Yu Controls the Flood,0.1352633329456489,0.1392621247645583,0.08149699421707284,0.14165281524036177,0.2010075630518424,0.13597788272980102,1.0000000000000002,0.16943474841747153,0.17686307531415277,0.23068393443263777,0.20759971844307282,0.24449098265121852
Popol Vuh / Destruction of the Wooden People,0.25210139666530174,0.2595542738092201,0.34175846212075917,0.3017257145618857,0.31843917593777593,0.10559715077387793,0.16943474841747153,1.0,0.24722569302909878,0.41203025924251074,0.24182541670333724,0.17087923106037958
Huarochirí / The Llama Warns of the Flood,0.5180843970660208,0.45720045720068586,0.3567417733957578,0.41337701675024485,0.4692707680683305,0.5952242962289207,0.17686307531415277,0.24722569302909878,1.0000000000000004,0.5048934421078929,0.1893206114156883,0.5797053817681064
Nahui Atl / Tata and Nene,0.482672610157662,0.45276925690687087,0.41360103994942227,0.42363433691955477,0.6630797815858717,0.5463244844701196,0.23068393443263777,0.41203025924251074,0.5048934421078929,1.0000000000000002,0.5267891182131145,0.5428513649336167
Bergelmir and the Blood Flood,0.28958149517537957,0.26832815729997483,0.34894928172680917,0.20795009796401456,0.44754474222841256,0.388148339826388,0.20759971844307282,0.24182541670333724,0.1893206114156883,0.5267891182131145,1.0,0.418739138072171
Nuʻu and the Hawaiian Flood,0.6138742225626564,0.5266851623825876,0.3835616438356165,0.5306245228993005,0.6351931356955165,0.5942609202430114,0.24449098265121852,0.17087923106037958,0.5797053817681064,0.5428513649336167,0.418739138072171,1.0000000000000002
