,Genesis Flood / Noah,Gilgamesh Tablet XI / Utanapishtim,Atrahasis Flood,Eridu Genesis / Ziusudra,Deucalion and Pyrrha,Manu and the Fish,Yu Controls the Flood,Popol Vuh / Destruction of the Wooden People,Huarochirí / The Llama Warns of the Flood,Nahui Atl / Tata and Nene,Bergelmir and the Blood Flood,Nuʻu and the Hawaiian Flood
Genesis Flood / Noah,1.0,0.696969696969697,0.42424242424242425,0.45714285714285713,0.4411764705882353,0.40625,0.08823529411764706,0.14705882352941177,0.3235294117647059,0.358974358974359,0.14285714285714285,0.43243243243243246
Gilgamesh Tablet XI / Utanapishtim,0.696969696969697,1.0,0.46875,0.59375,0.4,0.36363636363636365,0.08823529411764706,0.11428571428571428,0.2857142857142857,0.358974358974359,0.14285714285714285,0.358974358974359
Atrahasis Flood,0.42424242424242425,0.46875,1.0,0.4482758620689655,0.2903225806451613,0.2413793103448276,0.037037037037037035,0.2,0.2413793103448276,0.29411764705882354,0.19230769230769232,0.2571428571428571
Eridu Genesis / Ziusudra,0.45714285714285713,0.59375,0.4482758620689655,1.0,0.5172413793103449,0.3793103448275862,0.14285714285714285,0.13333333333333333,0.2903225806451613,0.2972972972972973,0.09375,0.37142857142857144
Deucalion and Pyrrha,0.4411764705882353,0.4,0.2903225806451613,0.5172413793103449,1.0,0.52,0.15384615384615385,0.18518518518518517,0.3103448275862069,0.5333333333333333,0.32,0.4838709677419355
Manu and the Fish,0.40625,0.36363636363636365,0.2413793103448276,0.3793103448275862,0.52,1.0,0.13043478260869565,0.07692307692307693,0.36,0.4,0.2608695652173913,0.3548387096774194
Yu Controls the Flood,0.08823529411764706,0.08823529411764706,0.037037037037037035,0.14285714285714285,0.15384615384615385,0.13043478260869565,1.0,0.1111111111111111,0.13043478260869565,0.1724137931034483,0.10526315789473684,0.1724137931034483
Popol Vuh / Destruction of the Wooden People,0.14705882352941177,0.11428571428571428,0.2,0.13333333333333333,0.18518518518518517,0.07692307692307693,0.1111111111111111,1.0,0.16666666666666666,0.2413793103448276,0.15,0.125
Huarochirí / The Llama Warns of the Flood,0.3235294117647059,0.2857142857142857,0.2413793103448276,0.2903225806451613,0.3103448275862069,0.36,0.13043478260869565,0.16666666666666666,1.0,0.3125,0.11538461538461539,0.3548387096774194
Nahui Atl / Tata and Nene,0.358974358974359,0.358974358974359,0.29411764705882354,0.2972972972972973,0.5333333333333333,0.4,0.1724137931034483,0.2413793103448276,0.3125,1.0,0.32142857142857145,0.42857142857142855
Bergelmir and the Blood Flood,0.14285714285714285,0.14285714285714285,0.19230769230769232,0.09375,0.32,0.2608695652173913,0.10526315789473684,0.15,0.11538461538461539,0.32142857142857145,1.0,0.27586206896551724
Nuʻu and the Hawaiian Flood,0.43243243243243246,0.358974358974359,0.2571428571428571,0.37142857142857144,0.4838709677419355,0.3548387096774194,0.1724137931034483,0.125,0.3548387096774194,0.42857142857142855,0.27586206896551724,1.0
