story_a,story_b,similarity
Genesis Flood / Noah,Gilgamesh Tablet XI / Utanapishtim,0.8061672657565289
Gilgamesh Tablet XI / Utanapishtim,Eridu Genesis / Ziusudra,0.7439848879604436
Gilgamesh Tablet XI / Utanapishtim,Atrahasis Flood,0.6671345390179442
Atrahasis Flood,Eridu Genesis / Ziusudra,0.6666820928734801
Deucalion and Pyrrha,Nahui Atl / Tata and Nene,0.6630797815858717
Deucalion and Pyrrha,Nuʻu and the Hawaiian Flood,0.6351931356955165
Deucalion and Pyrrha,Manu and the Fish,0.6313826635223763
Eridu Genesis / Ziusudra,Deucalion and Pyrrha,0.6308866919011829
Genesis Flood / Noah,Nuʻu and the Hawaiian Flood,0.6138742225626564
Genesis Flood / Noah,Eridu Genesis / Ziusudra,0.5984213466347169
Manu and the Fish,Huarochirí / The Llama Warns of the Flood,0.5952242962289207
Genesis Flood / Noah,Deucalion and Pyrrha,0.5944184833375667
Genesis Flood / Noah,Manu and the Fish,0.5943180487554042
Manu and the Fish,Nuʻu and the Hawaiian Flood,0.5942609202430114
Genesis Flood / Noah,Atrahasis Flood,0.5911381402455211
Huarochirí / The Llama Warns of the Flood,Nuʻu and the Hawaiian Flood,0.5797053817681064
Gilgamesh Tablet XI / Utanapishtim,Manu and the Fish,0.5598123172175429
Manu and the Fish,Nahui Atl / Tata and Nene,0.5463244844701196
Nahui Atl / Tata and Nene,Nuʻu and the Hawaiian Flood,0.5428513649336167
Gilgamesh Tablet XI / Utanapishtim,Deucalion and Pyrrha,0.542709253038248
