story_a,story_b,similarity
Genesis Flood / Noah,Gilgamesh Tablet XI / Utanapishtim,0.696969696969697
Gilgamesh Tablet XI / Utanapishtim,Eridu Genesis / Ziusudra,0.59375
Deucalion and Pyrrha,Nahui Atl / Tata and Nene,0.5333333333333333
Deucalion and Pyrrha,Manu and the Fish,0.52
Eridu Genesis / Ziusudra,Deucalion and Pyrrha,0.5172413793103449
Deucalion and Pyrrha,Nuʻu and the Hawaiian Flood,0.4838709677419355
Gilgamesh Tablet XI / Utanapishtim,Atrahasis Flood,0.46875
Genesis Flood / Noah,Eridu Genesis / Ziusudra,0.45714285714285713
Atrahasis Flood,Eridu Genesis / Ziusudra,0.4482758620689655
Genesis Flood / Noah,Deucalion and Pyrrha,0.4411764705882353
Genesis Flood / Noah,Nuʻu and the Hawaiian Flood,0.43243243243243246
Nahui Atl / Tata and Nene,Nuʻu and the Hawaiian Flood,0.42857142857142855
Genesis Flood / Noah,Atrahasis Flood,0.42424242424242425
Genesis Flood / Noah,Manu and the Fish,0.40625
Gilgamesh Tablet XI / Utanapishtim,Deucalion and Pyrrha,0.4
Manu and the Fish,Nahui Atl / Tata and Nene,0.4
Eridu Genesis / Ziusudra,Manu and the Fish,0.3793103448275862
Eridu Genesis / Ziusudra,Nuʻu and the Hawaiian Flood,0.37142857142857144
Gilgamesh Tablet XI / Utanapishtim,Manu and the Fish,0.36363636363636365
Manu and the Fish,Huarochirí / The Llama Warns of the Flood,0.36
